"nombre","tipo","subtipo","facultad","modalidad","semestres","creditos","costo_semestral_cop","costo_semestral_usd","costo_inscripcion_cop","codigo_snies","titulo_otorgado","acreditacion_nacional","acreditacion_internacional","descripcion","keywords","url"
"Diplomado en Acciones Constitucionales y Administrativas","Educación Continua","Diplomado","Curso en Manipulación de alimentos Virtual 10 Horas Próximamente Educación continua Curso en","Virtual","","","2610000","","","","","","","En este Diplomado profundizarás los conocimientos en acciones constitucionales y administrativas de abogados, servidores y funcionarios públicos.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-acciones-constitucionales-y-administrativas"
"Diplomado en Storytelling: Narrativa de historias","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","2570400","","","","","","","Diplomado en Storytelling Narrativa de historias. ¡Ingresa y consulta más detalles ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-storytelling-narrativa-de-historias"
"Diplomado en Conciliación Extrajudicial con énfasis en asuntos de familia","Educación Continua","Diplomado","Curso en Manipulación de alimentos Virtual 10 Horas Próximamente Educación continua Curso en","Virtual","","","3400000","","","","","","equisito de procedibilidad en materia de familia","Diplomado en Conciliación Extrajudicial con énfasis en asuntos de familia. ¡Ingresa ahora y consulta más detalles!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-conciliacion-extrajudicial-con-enfasis-en-asuntos-de-familia"
"Diplomado en Comunicación asertiva y persuasiva para líderes","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","3120000","","","","","","","Diplomado en Comunicación asertiva y persuasiva para líderes","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado/diplomado-en-comunicacion-asertiva-y-persuasiva-para-lideres"
"Diplomado en innovación y sostenibilidad. Estrategias y Tecnologías para el futuro","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","2625000","","","","","","","Diplomado en innovación y sostenibilidad. Estrategias y Tecnologías para el futuro. ¡Ingresa y consulta más detalles ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-innovacion-y-sostenibilidad-estrategias-y-tecnologias-para-el-futuro"
"Certificación en Mediación Familiar","Educación Continua","","Curso en Manipulación de alimentos Virtual 10 Horas Próximamente Educación continua Curso en","Virtual","","","3400000","","","","","","equisitos y objetivos","Certificación en Mediación Familiar. Ingresa y consulta más detalles del programa.","","https://www.unisabana.edu.co/programas/educacion-continua/certificacion-en-mediacion-familiar"
"Diplomado en Liderazgo, Habilidades Blandas y Gestión del Comportamiento","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","3120000","","","","","","","Diplomado en Liderazgo, Habilidades Blandas y Gestión del Comportamiento. ¡Ingresa y consulta más detalles ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-liderazgo-habilidades-blandas-y-gestion-del-comportamiento"
"Diplomado en Marketing Político y Estrategias de Campaña","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","2685000","","","","","","","Diplomado en Marketing Político y Estrategias de Campaña. ¡Ingresa ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-marketing-y-estrategias-de-campana"
"Diplomado en Fundamentos de DevOps","Educación Continua","Diplomado","FACULTAD DE","Virtual","","","2800000","","","","","","","Diplomado en Fundamentos de DevOps. ¡Ingresa y consulta más detalles ahora!","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-en-fundamentos-de-devops"
"Diplomado Evaluación Financiera Estratégica de Proyectos","Educación Continua","Diplomado","Curso en Manipulación de alimentos Virtual 10 Horas Próximamente Educación continua Curso en","Virtual","","","3650000","","","","","","","Se espera que los participantes del programa planeen, desarrollen e implementen estrategias de negociación en los mercados financieros locales o globales.","","https://www.unisabana.edu.co/programas/educacion-continua/diplomado-evaluacion-financiera-estrategica-de-proyectos"
